rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2444905000000,,110305,,2444,874000000,"""map""","""base_link""",,,-9.8978202432,-334.438729814,0.0069028213,,0.000084825,-8.26203288623E-05,-0.7155993363,-0.6985109705
2444905000000,,110306,,2444,884000000,"""map""","""base_link""",,,-9.898556597,-334.408105222,0.0069028214,,8.48257877946E-05,-8.26195773898E-05,-0.7156085496,-0.6985015316
2444905000000,,110307,,2444,894000000,"""map""","""base_link""",,,-9.8992388923,-334.377478452,0.0069028214,,8.48263196174E-05,-8.26190509585E-05,-0.7156154019,-0.6984945115
2444905000000,,110308,,2444,904000000,"""map""","""base_link""",,,-9.8999089365,-334.346850594,0.0069028215,,8.48281248639E-05,-8.26172001539E-05,-0.7156124705,-0.6984975147
2444916000000,,110309,,2444,914000000,"""map""","""base_link""",,,-9.9006338163,-334.316224002,0.0069028217,,8.48278156229E-05,-8.26174816849E-05,-0.7156076072,-0.6985024972
2444924000000,,110310,,2444,924000000,"""map""","""base_link""",,,-9.9013923926,-334.28559833,0.0069028217,,8.48253718636E-05,-0.00008262,-0.7156114314,-0.6984985793
2444965000000,,110311,,2444,934000000,"""map""","""base_link""",,,-9.9021285207,-334.254971647,0.0069028217,,8.48252213024E-05,-8.26197739838E-05,-0.7156185839,-0.6984912515
2444965000000,,110312,,2444,944000000,"""map""","""base_link""",,,-9.902859613,-334.224344476,0.0069028219,,8.48258483881E-05,-8.26191630642E-05,-0.7156281497,-0.698481451
2444965000000,,110313,,2444,954000000,"""map""","""base_link""",,,-9.9035363327,-334.193715081,0.0069028219,,8.48266150047E-05,-8.26183933128E-05,-0.7156340743,-0.6984753809
2444965000000,,110314,,2444,964000000,"""map""","""base_link""",,,-9.9042104646,-334.163084903,0.0069028219,,8.4828338688E-05,-8.26166215151E-05,-0.7156301398,-0.698479412
2445005000000,,110315,,2444,974000000,"""map""","""base_link""",,,-9.9049427715,-334.132456149,0.0069028221,,8.48276287481E-05,-8.26173147559E-05,-0.7156259217,-0.6984837336
2445005000000,,110316,,2444,984000000,"""map""","""base_link""",,,-9.9056999904,-334.101828057,0.0069028221,,8.48252126024E-05,-8.26197965867E-05,-0.7156309013,-0.6984786318
2445005000000,,110317,,2444,994000000,"""map""","""base_link""",,,-9.9064364941,-334.071197853,0.0069028218,,8.48253725297E-05,-0.00008262,-0.715600867,-0.6985094024
2445005000000,,110318,,2445,4000000,"""map""","""base_link""",,,-9.9071625386,-334.040568119,0.0069028219,,8.4825849991E-05,-8.26195512517E-05,-0.7156105211,-0.6984995119
2445049000000,,110319,,2445,14000000,"""map""","""base_link""",,,-9.9078368372,-334.009936211,0.006902822,,8.48267125874E-05,-8.2618685235E-05,-0.7156153529,-0.6984945617
2445049000000,,110320,,2445,24000000,"""map""","""base_link""",,,-9.9085158379,-333.979303777,0.006902822,,8.48282965883E-05,-8.26170517417E-05,-0.7156111037,-0.698498915
