rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2515624000000,,117380,,2515,624000000,"""map""",,,75.3649872335,-257.974604678,0.0069021657,,8.18744498171E-05,-8.60259441044E-05,-0.6883706422,-0.7253591145
2515634000000,,117381,,2515,634000000,"""map""",,,75.3649761432,-257.974581416,0.0069023486,,8.17663265648E-05,-8.58698372815E-05,-0.6883575226,-0.7253715648
2515644000000,,117382,,2515,644000000,"""map""",,,75.3649766413,-257.974554853,0.006902274,,8.19120799541E-05,-8.60288863519E-05,-0.6883895443,-0.7253411757
2515654000000,,117383,,2515,654000000,"""map""",,,75.3649726662,-257.974530755,0.0069023337,,8.18012470726E-05,-8.58901004121E-05,-0.6883788685,-0.7253513075
2515664000000,,117384,,2515,664000000,"""map""",,,75.3649816554,-257.974508526,0.0069023169,,8.18771842374E-05,-8.59826727405E-05,-0.6883712329,-0.7253585539
2515674000000,,117385,,2515,674000000,"""map""",,,75.3649839343,-257.974483713,0.0069022396,,8.18505266586E-05,-8.59803998185E-05,-0.6883585319,-0.725370607
2515684000000,,117386,,2515,684000000,"""map""",,,75.3649756551,-257.974458335,0.0069023703,,8.1792766347E-05,-8.58883631142E-05,-0.6883889521,-0.7253417377
2515694000000,,117387,,2515,694000000,"""map""",,,75.364975131,-257.974432792,0.0069021766,,8.18800601584E-05,-8.60274507561E-05,-0.6883792147,-0.725350979
2515704000000,,117388,,2515,704000000,"""map""",,,75.3649742151,-257.974410516,0.006902407,,8.17757549495E-05,-8.58698827963E-05,-0.6883716,-0.7253582055
2515714000000,,117389,,2515,714000000,"""map""",,,75.3649876578,-257.974386255,0.0069022131,,8.18955494915E-05,-8.60322152041E-05,-0.6883599303,-0.7253692799
2515724000000,,117390,,2515,724000000,"""map""",,,75.3649757838,-257.974360167,0.0069023761,,8.17701779397E-05,-8.58696238784E-05,-0.6883889409,-0.7253417484
2515737000000,,117391,,2515,734000000,"""map""",,,75.3649782977,-257.974335706,0.0069022235,,8.19118759175E-05,-8.60516334117E-05,-0.6883791845,-0.7253510076
2515744000000,,117392,,2515,744000000,"""map""",,,75.3649665846,-257.974311386,0.0069023771,,8.17596906373E-05,-8.58509076185E-05,-0.6883714854,-0.7253583143
2515754000000,,117393,,2515,754000000,"""map""",,,75.3649863705,-257.97428958,0.0069022948,,8.19141084803E-05,-8.60193697148E-05,-0.68836109,-0.7253681794
2515764000000,,117394,,2515,764000000,"""map""",,,75.3649751781,-257.974261699,0.0069022452,,8.18276502817E-05,-0.000085942,-0.688389158,-0.7253415423
2515774000000,,117395,,2515,774000000,"""map""",,,75.3649813722,-257.974239958,0.0069023368,,8.18215699884E-05,-8.59291981009E-05,-0.6883789112,-0.725351267
2515784000000,,117396,,2515,784000000,"""map""",,,75.3649618373,-257.974213868,0.0069022431,,8.18837053528E-05,-8.60191041426E-05,-0.6883706118,-0.7253591432
2515794000000,,117397,,2515,794000000,"""map""",,,75.3649813026,-257.974192553,0.0069023901,,8.17417334547E-05,-8.58373974091E-05,-0.6883619844,-0.7253673307
2515804000000,,117398,,2515,804000000,"""map""",,,75.3649743703,-257.974165888,0.0069022459,,0.00008189,-0.00008602,-0.6883890309,-0.7253416629
2515814000000,,117399,,2515,814000000,"""map""",,,75.3649832382,-257.974143252,0.0069023276,,8.17570933001E-05,-8.58566566048E-05,-0.6883793687,-0.7253508328
2515824000000,,117400,,2515,824000000,"""map""",,,75.3649623005,-257.974118152,0.00690221,,8.18907531995E-05,-8.60371060641E-05,-0.6883688927,-0.7253607747
2515835000000,,117401,,2515,834000000,"""map""",,,75.3649745857,-257.974095372,0.0069023361,,8.1787744804E-05,-8.58938284531E-05,-0.6883625942,-0.725366752
2515844000000,,117402,,2515,844000000,"""map""",,,75.3649746322,-257.974073302,0.0069023221,,8.19182156213E-05,-8.60228283782E-05,-0.6883503261,-0.725378394
2515854000000,,117403,,2515,854000000,"""map""",,,75.3649832671,-257.974046994,0.0069022797,,8.18383418726E-05,-8.59481094152E-05,-0.6883802483,-0.7253499981
2515864000000,,117404,,2515,864000000,"""map""",,,75.3649710925,-257.974024605,0.0069023582,,8.18091576436E-05,-8.59073937463E-05,-0.6883679861,-0.725361635
2515874000000,,117405,,2515,874000000,"""map""",,,75.3649817752,-257.97400039,0.0069022133,,8.18507612532E-05,-8.59954641217E-05,-0.6883603994,-0.7253688348
2515884000000,,117406,,2515,884000000,"""map""",,,75.3649706097,-257.973977413,0.0069023509,,8.17229036404E-05,-8.58281472919E-05,-0.6883480338,-0.7253805693
2515894000000,,117407,,2515,894000000,"""map""",,,75.3649766606,-257.973951078,0.0069022011,,8.18667370669E-05,-8.60107954131E-05,-0.6883798084,-0.7253504155
2515904000000,,117408,,2515,904000000,"""map""",,,75.3649736293,-257.973928464,0.0069023528,,8.17441348089E-05,-8.58327600523E-05,-0.6883677873,-0.7253618237
